Epoch,Train Loss,Train Accuracy,Valid Loss,Valid Accuracy
1, 3.030828, 12.38%, 2.877758, 12.57%
2, 2.796595, 16.14%, 2.730399, 15.57%
3, 2.659549, 19.25%, 2.598200, 18.71%
4, 2.553490, 20.86%, 2.555142, 21.86%
5, 2.487992, 26.07%, 2.401413, 26.14%
6, 2.395277, 26.70%, 2.425496, 25.00%
7, 2.321268, 27.32%, 2.332341, 24.57%
8, 2.135293, 36.38%, 2.124701, 32.43%
9, 2.041844, 38.00%, 2.070624, 35.14%
10, 1.993335, 38.46%, 2.047822, 36.29%
11, 1.957860, 38.89%, 2.031314, 34.71%
12, 1.934832, 38.73%, 2.016453, 36.86%
13, 1.903332, 39.62%, 2.043221, 34.71%
14, 1.866319, 40.43%, 2.057307, 35.86%
15, 1.816907, 44.36%, 1.915303, 39.29%
16, 1.782075, 45.00%, 1.900478, 38.29%
17, 1.775068, 45.52%, 1.887818, 37.43%
18, 1.767305, 45.18%, 1.896512, 39.14%
19, 1.758731, 46.20%, 1.885264, 39.43%
20, 1.765193, 45.32%, 1.877486, 39.14%
21, 1.745771, 46.38%, 1.878298, 38.43%
22, 1.741962, 46.21%, 1.874199, 39.14%
23, 1.753285, 46.39%, 1.874476, 39.29%
24, 1.740594, 46.32%, 1.868353, 38.57%
25, 1.744191, 46.02%, 1.881269, 37.86%
26, 1.739979, 47.21%, 1.869085, 38.57%
27, 1.721048, 47.38%, 1.871380, 39.00%
28, 1.723535, 46.02%, 1.877477, 38.71%
29, 1.730508, 46.82%, 1.874651, 39.00%
30, 1.733038, 46.62%, 1.874618, 38.43%
31, 1.529876, 56.73%, 1.599816, 47.29%
32, 1.491963, 55.62%, 1.674512, 47.71%
33, 1.433858, 49.36%, 1.823767, 44.57%
34, 1.040966, 72.18%, 1.293051, 60.71%
35, 0.924771, 74.09%, 1.294042, 59.86%
36, 0.893483, 75.25%, 1.274155, 60.43%
37, 0.834874, 76.43%, 1.271377, 59.57%
38, 0.817469, 77.11%, 1.312501, 59.71%
